Дядя Ваня | Антон Чехов
Отцы и дети | Иван Тургенев
Детство | Лев Толстой
Преступление и наказание | Федор Достоевский
Евгений Онегин | Александр Пушкин
Вишневый сад | Антон Чехов
Дворянское гнездо | Иван Тургенев
Анна Каренина | Лев Толстой
Идиот | Федор Достоевский
Пиковая дама | Александр Пушкин
Хаджи-Мурат | Лев Толстой
Братья Карамазовы | Федор Достоевский
Дама с собачкой | Антон Чехов
Пиковая дама | Александр Пушкин
Кавказский пленник | Лев Толстой
Бесы | Федор Достоевский
Три сестры | Антон Чехов
Война и мир | Лев Толстой
Преступление и наказание | Федор Достоевский
Толстый и тонкий | Антон Чехов
Анна Каренина | Лев Толстой
Идиот | Федор Достоевский
Вишневый сад | Антон Чехов
Отцы и дети | Иван Тургенев
Евгений Онегин | Александр Пушкин
Воскресение | Лев Толстой
Братья Карамазовы | Федор Достоевский
Дама с собачкой | Антон Чехов
Дворянское гнездо | Иван Тургенев
Пиковая дама | Александр Пушкин
Хаджи-Мурат | Лев Толстой
Бесы | Федор Достоевский
Три сестры | Антон Чехов
Накануне | Иван Тургенев
Медный всадник | Александр Пушкин
Казаки | Лев Толстой
Игрок | Федор Достоевский
